Hempstead - West Hempstead,100
Hempstead - New Hyde Park,139
Hunterspoint Avenue - Deer Park,142
Riverhead - Riverhead,35
Huntington - Northport,242
Huntington - Kings Park,220
Huntington - Smithtown,178
Penn Station - Inwood,48
Hicksville - Stony Brook,19
Jamaica - Amagansett,134
Lakeview - West Hempstead,8
Yaphank - Lakeview,8
['Yaphank'][],48
Yaphank - Wantagh,17
Hempstead - Hampton Bays,97
Hempstead - Mastic Shirley,62
Hempstead - Glen Cove,6
Valley Stream - Centre Avenue,30
Valley Stream - East Rockaway,27
Hollis - Hollis,196
Hicksville - Central Islip,89
Baldwin - Amityville,55
Baldwin - Copiague,53
Baldwin - Lindenhurst,51
Kew Gardens - Amityville,12
Kew Gardens - Copiague,12
Kew Gardens - Lindenhurst,12
Kew Gardens - Lynbrook,24
Kew Gardens - Rockville Centre,43
Kew Gardens - Baldwin,40
Kew Gardens - Freeport,38
Woodside - Amityville,303
Woodside - Copiague,233
Lakeview - Babylon,15
East New York - Yaphank,45
Islip - Oakdale,58
Islip - Sayville,10
Lynbrook - Bellmore,94
Lynbrook - Massapequa,77
Lynbrook - Amityville,60
['Glen Cove'][],178
Glen Cove - East Rockaway,66
Glen Cove - Malverne,18
Douglaston - Glen Cove,30
Douglaston - Kings Park,31
['Douglaston'][],82
Amityville - Lindenhurst,38
Atlantic Terminal - Syosset,67
Atlantic Terminal - Cold Spring Harbor,52
Farmingdale - Brentwood,48
Farmingdale - Central Islip,43
Bellmore - Seaford,43
Bellmore - Massapequa Park,38
Bellmore - Amityville,37
Bellmore - Copiague,33
Bellmore - Lindenhurst,28
Hunterspoint Avenue - Brentwood,101
Hunterspoint Avenue - Central Islip,95
Huntington - St. James,163
Huntington - Stony Brook,74
Long Island City - Cold Spring Harbor,62
Long Island City - Northport,138
Long Island City - Kings Park,115
Long Island City - Smithtown,96
Long Island City - St. James,87
Long Island City - Stony Brook,45
Lynbrook - Wantagh,74
Lynbrook - Seaford,73
Lynbrook - Massapequa Park,57
Lynbrook - Copiague,43
Lynbrook - Lindenhurst,37
['Deer Park'][],91
['Hicksville'][],108
Valley Stream - Rockville Centre,47
['West Hempstead'][],113
Nostrand Avenue - Locust Manor,37
Nostrand Avenue - Laurelton,32
Nostrand Avenue - Rosedale,23
